kind	name	refCount	postCount	changeCount	commitCount	smellCount	hasSmell	LOC	Nesting	WMC	DIT	NOC	CBO	RFC	LCOM	ADD	ADDING_ATTRIBUTE_MODIFIABILITY	ADDING_CLASS_DERIVABILITY	ADDING_METHOD_OVERRIDABILITY	ADDITIONAL_CLASS	ADDITIONAL_FUNCTIONALITY	ADDITIONAL_OBJECT_STATE	ALTERNATIVE_PART_DELETE	ALTERNATIVE_PART_INSERT	ATTRIBUTE_RENAMING	ATTRIBUTE_TYPE_CHANGE	CLASS_RENAMING	COMMENT_DELETE	COMMENT_INSERT	COMMENT_MOVE	COMMENT_UPDATE	CONDITION_EXPRESSION_CHANGE	DECREASING_ACCESSIBILITY_CHANGE	DELETE	DOC_DELETE	DOC_INSERT	DOC_UPDATE	METHOD_RENAMING	MODIFY	PARAMETER_DELETE	PARAMETER_INSERT	PARAMETER_ORDERING_CHANGE	PARAMETER_RENAMING	PARAMETER_TYPE_CHANGE	PARENT_CLASS_CHANGE	PARENT_CLASS_DELETE	PARENT_CLASS_INSERT	PARENT_INTERFACE_CHANGE	PARENT_INTERFACE_DELETE	PARENT_INTERFACE_INSERT	REMOVED_CLASS	REMOVED_FUNCTIONALITY	REMOVED_OBJECT_STATE	REMOVING_ATTRIBUTE_MODIFIABILITY	REMOVING_CLASS_DERIVABILITY	REMOVING_METHOD_OVERRIDABILITY	RETURN_TYPE_CHANGE	RETURN_TYPE_DELETE	RETURN_TYPE_INSERT	STATEMENT_DELETE	STATEMENT_INSERT	STATEMENT_ORDERING_CHANGE	STATEMENT_PARENT_CHANGE	STATEMENT_UPDATE	UNCLASSIFIED_CHANGE	ForwardEngineering	ReEngineering	CorrectiveEngineering	Management	usageCount	refDensity
Public Abstract Class	android.accessibilityservice.AccessibilityService	286	92	905	120	0	0	220	2	17	3	1	12	266	96	5	6	0	0	1	13	27	6	4	8	0	0	16	14	0	5	6	0	0	5	0	34	0	115	6	0	0	0	0	0	0	0	0	0	0	4	33	81	0	0	0	0	4	0	191	160	76	28	54	3	1103	1193	697	649	32	8.9375
Public Class	android.accessibilityservice.AccessibilityServiceInfo	226	132	621	86	2	1	435	3	85	0	0	29	40	89	5	0	0	0	0	7	6	0	0	6	3	0	0	0	0	0	2	2	0	4	0	82	0	81	0	0	0	3	0	0	0	0	0	0	0	3	64	55	0	0	0	0	0	0	222	54	0	6	16	0	471	817	466	360	109	2.0734
Public Abstract Class	android.accounts.AbstractAccountAuthenticator	157	27	1219	56	0	0	273	2	21	0	0	19	27	90	3	0	0	0	0	22	2	42	42	0	0	0	10	0	0	0	0	2	0	56	10	40	12	53	50	20	4	16	0	0	0	0	0	0	0	0	38	4	0	0	0	0	12	0	352	276	0	34	107	0	568	1177	307	1715	108	1.4537
Public Class	android.accounts.Account	1368	830	52	8	0	0	48	1	11	0	0	5	20	42	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	30	0	36	67	5	37	4324	0.3164
Public Class	android.accounts.AccountAuthenticatorActivity	1290	1166	92	26	0	0	27	2	6	4	0	4	471	33	4	0	0	0	0	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	6	30	0	36	76	1	172	43	30.0000
Public Class	android.accounts.AccountAuthenticatorResponse	174	71	78	23	0	0	55	1	13	0	0	7	20	57	3	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	3	0	6	0	0	0	20	0	0	0	0	0	0	0	0	0	2	0	0	10	4	0	0	0	0	0	0	14	0	0	0	0	0	34	80	40	95	120	1.4500
Public Class	android.accounts.AccountManager	3023	885	2754	204	0	0	886	2	116	0	1	41	57	97	3	0	0	0	8	73	18	2	0	0	6	0	60	29	2	0	48	0	0	189	0	180	63	201	34	8	6	24	63	0	0	0	0	6	6	15	137	215	0	0	0	15	2	0	694	401	0	26	217	0	1572	3388	381	3225	1484	2.0371
Public Generic Interface	android.accounts.AccountManagerCallback	8514	4963	5	5	0	0	2	0	1	0	6	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	3	181	47.0387
Public Generic Interface	android.accounts.AccountManagerFuture	1027	651	86	22	0	0	6	0	5	0	3	4	5	0	5	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	22	0	17	0	0	0	0	0	0	0	0	0	0	6	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	2	147	9	142	276	3.7210
Public Class	android.accounts.AccountsException	3	3	8	8	0	0	13	0	4	0	3	1	42	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	12	13	0.2308
Public Class	android.accounts.AuthenticatorDescription	13	10	333	39	0	0	80	1	16	0	0	4	23	61	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	6	0	0	34	8	0	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0	74	66	0	0	0	0	251	789	40	442	49	0.2653
Public Class	android.accounts.AuthenticatorException	75	68	10	10	0	0	14	0	4	1	0	1	46	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	1	14	319	0.2351
Public Class	android.accounts.NetworkErrorException	4	2	10	10	0	0	13	0	4	1	0	1	46	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	1	14	98	0.0408
Public Interface	android.accounts.OnAccountsUpdateListener	5	4	10	10	0	0	3	0	1	0	0	1	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14	2	13	40	0.1250
Public Class	android.accounts.OperationCanceledException	92	88	10	10	0	0	14	0	4	1	0	1	46	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	1	14	241	0.3817
Public Abstract Class	android.animation.Animator	3741	1586	1420	72	0	0	136	3	43	0	2	7	37	80	4	0	0	0	3	138	152	11	13	6	3	3	20	13	0	3	24	10	0	27	14	40	13	68	4	8	0	0	9	0	0	3	0	7	4	2	91	28	0	0	0	0	8	1	265	253	12	44	88	25	418	1533	304	1355	2270	1.6480
Public Class	android.animation.AnimatorInflater	243	106	733	23	0	0	210	4	41	0	0	21	18	93	5	0	0	0	0	0	5	63	28	0	0	0	2	4	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	274	194	28	75	33	0	174	866	190	764	235	1.0340
Public Abstract Class	android.animation.AnimatorListenerAdapter	1030	323	16	10	0	0	21	0	6	0	74	2	19	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8	25	8	15	4150	0.2482
Public Class	android.animation.AnimatorSet	3260	1143	635	51	0	0	623	6	111	1	0	17	61	82	5	0	0	0	0	0	0	2	0	2	0	0	19	5	3	0	20	0	0	0	0	13	0	46	0	0	0	0	3	0	0	0	0	0	0	0	21	10	0	0	0	0	12	1	299	64	12	70	28	0	441	840	409	719	2174	1.4995
Public Class	android.animation.ArgbEvaluator	157	114	15	7	0	0	17	0	1	0	0	1	14	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	11	21	9	361	0.4349
Public Class	android.animation.FloatEvaluator	27	19	32	10	0	0	5	0	1	0	0	2	14	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	12	0	56	41	26	32	22	1.2273
Public Class	android.animation.IntEvaluator	34	23	32	10	0	0	5	0	1	0	0	1	14	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	12	0	56	41	26	32	12	2.8333
Public Abstract Class	android.animation.Keyframe	632	369	161	24	0	0	134	0	15	0	3	6	28	90	4	0	0	0	0	14	2	0	0	0	3	0	0	0	0	0	0	4	0	0	2	19	0	20	0	4	0	0	3	0	0	0	0	3	0	6	30	2	0	0	0	3	0	0	2	12	0	0	18	8	131	197	38	187	82	7.7073
Public Class	android.animation.LayoutTransition	374	138	1308	99	1	1	791	3	164	0	0	18	52	89	5	6	0	0	0	0	0	2	0	5	45	0	34	38	27	3	44	0	0	0	6	80	10	94	0	0	0	3	6	0	0	0	0	0	0	0	49	51	0	0	0	6	0	0	381	116	27	39	231	0	1208	1399	789	964	231	1.6190
Public Class	android.animation.ObjectAnimator	3853	1075	743	59	1	1	277	4	68	2	0	12	122	82	5	0	0	0	0	23	8	12	0	0	0	0	13	3	3	3	20	1	0	0	0	51	2	54	2	8	0	0	2	5	0	0	0	0	0	0	66	17	0	0	0	0	0	0	266	105	0	12	57	1	379	478	608	616	3793	1.0158
Public Class	android.animation.PropertyValuesHolder	178	59	877	50	0	0	533	4	76	0	2	30	50	90	6	6	0	0	0	35	4	8	16	3	0	0	33	0	14	0	8	18	0	3	0	29	5	44	1	4	0	0	5	0	0	0	0	3	0	4	104	18	0	0	0	0	0	2	206	206	2	30	55	1	642	1033	365	898	439	0.4055
Public Class	android.animation.RectEvaluator	17	14	7	7	0	0	9	0	1	0	0	2	14	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	2	3	3	5.6667
Public Class	android.animation.TimeAnimator	75	38	59	14	1	1	31	1	7	2	0	2	98	60	3	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	9	0	11	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	24	0	0	0	0	11	33	9	61	28	2.6786
Public Interface	android.animation.TimeInterpolator	58	31	6	6	0	0	3	0	1	0	19	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	6	195	0.2974
Public Generic Interface	android.animation.TypeEvaluator	42	39	19	11	0	0	3	0	1	0	5	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	38	32	16	20	77	0.5455
Public Class	android.animation.ValueAnimator	4073	1343	1972	162	0	0	617	5	130	1	2	23	93	93	5	0	0	0	0	30	67	19	27	0	6	0	39	73	2	2	71	47	0	12	0	44	5	157	10	0	0	0	8	0	0	4	0	5	2	0	97	71	0	0	0	3	4	1	388	428	20	77	240	5	861	2178	1048	1829	4650	0.8759
Public Annotation	android.annotation.SuppressLint	2	2	3	3	0	0	3	0	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	-1.0000
Public Annotation	android.annotation.TargetApi	2	1	3	3	0	0	3	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	2	0	-1.0000
Public Abstract Class	android.app.ActionBar	28347	10128	614	104	0	0	145	0	56	0	1	9	69	100	4	0	0	0	11	79	12	0	0	2	0	0	0	0	0	0	0	0	0	2	0	135	14	100	2	0	0	1	9	0	0	0	0	0	0	19	178	24	0	0	0	0	15	0	3	0	0	0	4	0	311	676	352	576	1985	14.2806
Public Class	android.app.Activity	1068174	109746	4903	567	1	1	1954	5	492	3	387	105	468	97	1	0	0	0	2	51	30	49	18	3	22	0	98	93	12	10	77	36	1	15	0	311	21	565	38	25	1	8	19	0	0	0	8	4	0	9	310	105	0	0	0	7	0	0	1335	971	38	207	399	2	3422	5299	3085	4317	76753	13.9170
Public Class	android.app.ActivityGroup	2143	1353	22	13	0	0	68	2	16	4	1	6	480	63	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	10	11	5	21	71	30.1831
Public Class	android.app.ActivityManager	6176	2084	1688	308	1	1	1028	2	117	0	0	44	66	99	1	0	0	0	0	2	7	6	7	16	0	0	44	36	0	0	44	0	1	20	0	61	2	306	0	3	0	0	0	0	0	0	0	0	0	8	154	295	0	0	0	2	0	0	342	197	21	10	103	0	1464	1766	874	1291	4411	1.4001
Public Class	android.app.ActivityOptions	412	223	545	28	0	0	245	3	50	0	0	8	37	84	2	0	0	0	0	2	2	4	0	8	0	0	0	0	0	0	11	0	0	0	0	16	12	26	4	4	0	0	0	0	0	0	0	0	0	2	41	41	0	0	0	0	0	0	177	117	26	22	28	0	610	454	385	347	190	2.1684
Public Class	android.app.admin.DeviceAdminInfo	1553	1296	84	39	0	0	217	5	34	0	0	32	32	92	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	13	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	9	0	0	0	3	0	37	97	60	64	0	-1.0000
Public Class	android.app.admin.DeviceAdminReceiver	265	64	40	15	0	0	82	2	20	1	0	10	46	92	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	4	0	0	8	0	0	20	36	7	37	37	7.1622
Public Class	android.app.admin.DevicePolicyManager	837	282	1242	105	0	0	702	6	198	0	0	33	90	94	2	0	0	0	0	0	13	0	0	5	0	0	0	0	0	0	0	0	0	0	0	87	15	103	36	0	0	0	0	0	0	0	0	0	0	0	179	56	0	0	0	4	0	0	4	387	0	76	273	2	356	1004	411	1063	152	5.5066
Public Class	android.app.AlarmManager	16027	5773	251	33	0	0	76	1	18	0	0	8	25	93	1	2	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	1	10	0	41	0	31	10	4	0	15	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0	14	14	0	6	63	0	120	229	97	146	3091	5.1851
Public Class	android.app.AlertDialog	15645	9250	515	92	0	0	348	1	35	1	4	17	134	85	1	0	0	0	0	4	3	22	0	0	0	0	4	0	0	0	9	4	1	10	0	72	4	90	4	0	0	4	0	0	0	0	0	0	0	0	44	26	0	0	0	0	0	0	96	56	0	17	44	0	115	303	480	428	11542	1.3555
Public Class	android.app.AliasActivity	887	793	8	8	0	0	63	3	14	4	0	14	470	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	5	15	59.1333
Public Class	android.app.Application	5747	3061	198	37	0	0	183	3	51	2	5	8	256	89	1	0	0	0	0	4	0	0	0	0	4	4	0	0	0	0	0	0	1	0	0	4	8	35	0	0	0	0	8	0	0	0	3	0	0	6	55	15	0	0	0	0	0	0	42	0	0	0	8	0	122	169	113	241	6731	0.8538
Public Class	android.app.ApplicationErrorReport	22	12	464	83	0	0	289	2	28	0	0	18	21	69	6	0	0	0	0	0	11	3	0	0	0	0	0	0	0	0	0	3	0	0	0	15	0	77	0	0	0	0	0	0	0	0	0	0	0	6	13	41	0	0	0	0	0	0	182	73	0	15	19	0	323	404	183	503	53	0.4151
Public Class	android.app.AppOpsManager	78	31	557	68	0	0	685	2	59	0	0	15	47	98	3	0	0	0	2	5	0	0	0	2	4	0	0	0	0	0	0	0	0	137	0	9	0	65	6	0	0	0	2	0	0	0	0	0	0	11	69	130	0	0	0	0	0	0	62	18	0	0	30	0	785	706	273	524	262	0.2977
Public Abstract Class	android.app.backup.BackupAgent	60	51	840	79	0	0	330	6	55	2	4	20	246	93	3	0	0	0	0	0	0	30	12	0	0	0	60	0	21	15	30	2	0	14	0	34	2	76	2	2	0	0	2	0	0	0	0	0	0	4	18	12	0	0	0	0	0	0	282	18	2	95	102	0	415	643	179	526	28	2.1429
Public Class	android.app.backup.BackupAgentHelper	67	19	32	32	0	0	20	0	4	3	3	8	250	50	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	27	3	45	85	0.7882
Public Class	android.app.backup.BackupDataInput	101	75	94	17	0	0	74	2	16	0	0	9	25	63	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	6	54	12	172	19	5.3158
Public Class	android.app.backup.BackupDataInputStream	3718	2876	59	17	0	0	29	1	7	0	0	3	29	70	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	7	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	20	7	72	1	3718.0000
Public Class	android.app.backup.BackupDataOutput	28	27	59	24	0	0	41	1	9	0	0	7	23	50	3	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	7	0	14	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	70	1	91	19	1.4737
Public Interface	android.app.backup.BackupHelper	1	1	104	30	0	0	6	0	3	0	4	3	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	27	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	88	10	145	1	1.0000
Public Class	android.app.backup.BackupManager	129	45	114	44	0	0	71	3	18	0	0	7	19	27	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	21	0	41	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	8	10	0	12	10	0	72	113	66	162	117	1.1026
Public Class	android.app.backup.FileBackupHelper	49	34	56	23	0	0	32	1	6	1	0	7	27	40	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	67	7	86	23	2.1304
Public Class	android.app.backup.FullBackupDataOutput	1	1	2	2	0	0	7	0	2	0	0	2	15	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	1	0	-1.0000
Public Abstract Class	android.app.backup.RestoreObserver	12	7	45	13	0	0	10	0	4	0	1	2	17	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	4	0	10	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	17	35	13	42	11	1.0909
Public Class	android.app.backup.SharedPreferencesBackupHelper	56	43	62	29	0	0	32	1	6	1	0	8	27	33	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	21	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	24	37	5	95	72	0.7778
Public Class	android.app.DatePickerDialog	3223	1950	258	54	0	0	103	2	14	2	0	11	145	75	1	0	0	0	0	8	24	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0	36	67	0	0	45	0	165	233	52	301	517	6.2340
Public Class	android.app.Dialog	61395	25537	880	154	1	1	549	3	148	0	15	50	107	95	1	0	0	0	5	4	11	11	4	5	0	0	13	10	0	0	17	5	1	10	0	18	2	152	0	0	0	4	0	0	0	0	0	0	0	5	71	29	0	0	0	0	0	0	247	133	0	74	48	0	400	894	678	748	16395	3.7447
Public Class	android.app.DialogFragment	9777	5477	348	52	1	1	245	2	58	1	9	18	137	84	4	0	0	0	0	4	0	2	3	4	0	0	4	5	0	0	2	0	0	8	0	15	4	48	0	2	0	0	0	0	0	0	0	0	0	0	24	7	0	0	0	0	0	0	75	87	2	18	30	0	266	434	486	286	1564	6.2513
Public Class	android.app.DownloadManager	2249	941	1506	149	0	0	653	4	45	0	0	25	33	97	6	0	0	0	0	45	19	23	3	10	6	0	19	22	3	0	24	5	0	3	0	110	11	143	20	18	0	0	0	0	0	0	0	0	0	0	70	93	0	0	0	7	6	0	344	221	0	43	232	0	534	1505	368	1770	788	2.8541
Public Class	android.app.ExpandableListActivity	822	559	13	7	0	0	77	1	18	4	0	9	482	71	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	4	80	10.2750
Public Class	android.app.Fragment	121329	33466	1549	195	0	0	792	3	203	0	44	43	111	95	3	0	0	29	0	23	13	5	0	5	9	0	0	1	1	0	9	1	0	30	0	50	6	192	21	2	0	0	0	0	0	0	3	1	0	5	257	108	0	0	1	6	0	0	410	100	25	129	104	0	1063	1440	807	1404	2945	41.1983
Public Class	android.app.FragmentBreadCrumbs	16	10	429	33	0	0	216	4	41	2	0	19	912	87	4	0	0	0	0	0	0	0	3	0	0	0	12	0	0	5	12	0	0	0	0	3	0	29	0	0	0	0	0	0	0	0	0	0	0	2	17	24	0	0	0	0	0	0	198	47	0	15	58	0	128	130	521	396	0	-1.0000
Public Abstract Class	android.app.FragmentManager	33670	16181	4819	266	0	0	41	0	22	0	1	11	35	100	3	0	1	0	0	16	8	47	29	4	6	0	68	14	24	7	369	1	0	2	8	17	18	263	28	2	6	0	8	0	0	0	0	0	0	4	201	69	4	0	0	4	2	14	1360	680	151	935	444	0	4541	5533	2951	3961	2897	11.6224
Public Abstract Class	android.app.FragmentTransaction	46939	11678	186	53	0	0	34	0	24	0	1	3	37	100	3	0	0	0	0	0	21	0	0	2	0	0	0	0	0	0	0	0	0	14	8	8	0	50	3	2	3	0	0	0	0	0	0	0	0	0	41	29	0	0	0	0	2	0	0	0	0	0	0	0	175	284	90	156	1946	24.1208
Public Class	android.app.Instrumentation	2959	2185	990	105	1	1	869	4	143	0	4	67	81	94	1	0	0	0	0	12	18	0	0	0	0	0	4	40	0	0	20	0	1	0	0	12	0	103	11	2	0	0	5	0	0	0	0	0	0	0	23	12	0	0	0	0	0	0	136	506	16	2	66	0	684	1299	387	808	116	25.5086
Public Abstract Class	android.app.IntentService	4387	1789	109	35	0	0	52	0	9	3	2	10	263	75	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	35	0	31	0	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0	0	6	0	0	0	0	112	147	27	123	2505	1.7513
Public Class	android.app.KeyguardManager	1063	350	109	41	0	0	66	1	10	0	0	6	19	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	46	0	39	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	3	3	0	0	6	0	52	108	98	96	1101	0.9655
Public Abstract Class	android.app.LauncherActivity	1236	1092	354	35	0	0	289	1	17	5	1	19	493	83	1	0	0	0	0	4	6	0	0	0	4	0	0	4	0	0	4	0	1	2	0	2	0	33	7	6	0	0	0	0	0	0	0	0	0	4	46	25	0	0	0	0	0	0	96	38	0	11	60	0	103	70	61	341	27	45.7778
Public Class	android.app.ListActivity	9957	5412	40	28	0	0	78	1	15	4	23	10	479	75	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	26	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	12	44	33	40	526	18.9297
Public Class	android.app.ListFragment	6083	3046	320	24	1	1	179	2	35	1	1	16	127	81	3	0	0	0	0	1	7	28	0	0	0	0	4	0	0	0	2	0	0	0	0	14	6	21	6	0	0	0	0	0	0	0	0	0	0	0	9	20	0	0	0	0	0	0	126	14	6	23	28	0	126	390	200	275	112	54.3125
Public Abstract Class	android.app.LoaderManager	382	184	1159	99	0	0	17	0	6	0	1	7	19	0	3	2	0	0	0	7	4	11	5	2	4	0	23	13	3	4	48	0	0	16	0	19	3	96	8	0	0	0	0	0	3	0	0	3	0	0	67	42	2	0	0	0	0	0	475	75	22	80	117	0	657	1206	1508	977	313	1.2204
Public Class	android.app.LocalActivityManager	779	350	107	26	0	0	341	4	90	0	0	16	30	76	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	32	12	0	4	29	0	87	166	144	106	59	13.2034
Public Class	android.app.MediaRouteActionProvider	194	128	301	37	0	0	104	2	16	1	0	14	34	73	4	6	0	0	3	2	5	0	0	2	2	2	6	9	0	0	8	0	0	4	0	0	0	33	8	8	0	0	0	0	0	0	0	0	0	4	16	8	0	0	0	0	0	0	92	53	0	10	16	0	149	488	126	360	2	97.0000
Public Class	android.app.MediaRouteButton	6994	3381	600	76	0	0	302	2	56	1	0	25	672	86	4	2	2	0	0	6	8	14	8	0	0	2	12	14	0	2	23	0	0	6	0	2	0	72	16	8	0	0	0	0	0	0	0	0	0	0	50	30	0	0	0	0	0	0	148	78	2	34	57	0	392	819	294	662	1	6994.0000
Public Class	android.app.NativeActivity	1440	1109	759	79	0	0	226	3	45	4	0	31	507	91	6	0	1	0	4	21	4	2	0	0	0	0	4	5	6	0	0	0	0	6	0	4	14	73	44	17	0	6	6	0	0	1	6	11	0	7	86	50	0	0	0	0	2	0	197	60	0	48	62	0	305	697	179	749	151	9.5364
Public Class	android.app.Notification	7787	4564	3703	312	0	0	1078	3	63	0	0	23	26	87	1	0	0	0	0	11	30	101	50	5	0	0	70	22	4	8	64	12	1	149	36	141	1	310	10	0	0	6	0	0	15	0	0	0	0	15	160	202	0	0	0	0	0	0	1070	741	30	193	235	8	1804	3652	1334	4037	4014	1.9400
