kind	name	refCount	postCount	changeCount	commitCount	smellCount	hasSmell	LOC	Nesting	WMC	DIT	NOC	CBO	RFC	LCOM	ADD	ADDING_ATTRIBUTE_MODIFIABILITY	ADDING_CLASS_DERIVABILITY	ADDING_METHOD_OVERRIDABILITY	ADDITIONAL_CLASS	ADDITIONAL_FUNCTIONALITY	ADDITIONAL_OBJECT_STATE	ALTERNATIVE_PART_DELETE	ALTERNATIVE_PART_INSERT	ATTRIBUTE_RENAMING	ATTRIBUTE_TYPE_CHANGE	CLASS_RENAMING	COMMENT_DELETE	COMMENT_INSERT	COMMENT_MOVE	COMMENT_UPDATE	CONDITION_EXPRESSION_CHANGE	DECREASING_ACCESSIBILITY_CHANGE	DELETE	DOC_DELETE	DOC_INSERT	DOC_UPDATE	METHOD_RENAMING	MODIFY	PARAMETER_DELETE	PARAMETER_INSERT	PARAMETER_ORDERING_CHANGE	PARAMETER_RENAMING	PARAMETER_TYPE_CHANGE	PARENT_CLASS_CHANGE	PARENT_CLASS_DELETE	PARENT_CLASS_INSERT	PARENT_INTERFACE_CHANGE	PARENT_INTERFACE_DELETE	PARENT_INTERFACE_INSERT	REMOVED_CLASS	REMOVED_FUNCTIONALITY	REMOVED_OBJECT_STATE	REMOVING_ATTRIBUTE_MODIFIABILITY	REMOVING_CLASS_DERIVABILITY	REMOVING_METHOD_OVERRIDABILITY	RETURN_TYPE_CHANGE	RETURN_TYPE_DELETE	RETURN_TYPE_INSERT	STATEMENT_DELETE	STATEMENT_INSERT	STATEMENT_ORDERING_CHANGE	STATEMENT_PARENT_CHANGE	STATEMENT_UPDATE	UNCLASSIFIED_CHANGE	ForwardEngineering	ReEngineering	CorrectiveEngineering	Management	usageCount	refDensity
Public Class	android.view.SurfaceView	41182	8383	2608	265	1	1	572	7	79	1	5	37	671	93	1	20	0	0	0	45	55	26	13	8	0	0	38	16	16	11	141	0	1	3	0	4	4	263	29	16	0	4	0	2	0	0	0	0	0	0	70	126	6	0	0	0	0	0	719	309	196	172	292	2	722	1860	2467	2719	2208	18.6513
Public Class	android.view.textservice.SentenceSuggestionsInfo	1	1	12	5	0	0	71	1	13	0	0	7	21	59	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	6	3	12	0.0833
Public Class	android.view.textservice.SpellCheckerInfo	1596	1292	144	13	0	0	130	4	22	0	0	25	26	71	2	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0	93	10	0	0	0	0	124	150	12	17	0	-1.0000
Public Class	android.view.textservice.SpellCheckerSession	818	658	728	50	0	0	301	1	17	0	0	17	26	85	3	0	0	0	0	30	2	6	6	0	0	0	24	2	0	0	6	0	0	0	0	9	10	47	15	0	6	1	8	0	0	0	0	0	0	0	49	39	8	0	0	0	0	0	336	10	4	56	49	2	210	525	848	664	9	90.8889
Public Class	android.view.textservice.SpellCheckerSubtype	10	10	44	13	0	0	145	4	37	0	0	18	29	84	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	0	0	0	0	0	0	33	32	4	18	1	10.0000
Public Class	android.view.textservice.SuggestionsInfo	4	3	220	19	0	0	79	1	14	0	0	6	24	78	2	0	0	0	0	6	8	6	6	2	0	0	0	0	0	0	0	0	0	0	0	7	0	17	0	0	0	0	0	0	0	0	0	0	0	0	9	17	0	0	0	0	0	0	62	72	2	4	0	0	114	244	8	127	27	0.1481
Public Class	android.view.textservice.TextInfo	1713	1073	2	2	0	0	51	1	9	0	0	6	21	62	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	20	85.6500
Public Class	android.view.textservice.TextServicesManager	24	9	400	62	0	0	154	3	38	0	0	15	23	57	2	0	0	0	0	2	0	8	0	0	0	0	7	3	0	0	22	0	0	0	0	5	0	60	8	2	0	2	0	0	0	0	0	0	0	0	19	2	0	0	0	0	0	0	143	21	7	41	46	0	168	377	116	254	12	2.0000
Public Class	android.view.TextureView	2769	1279	810	135	1	1	329	3	74	1	3	21	690	91	2	0	0	0	0	3	8	0	0	2	0	0	30	8	0	0	17	0	0	5	0	26	0	133	9	3	2	0	2	0	0	0	0	0	0	0	70	31	0	0	0	0	5	0	211	144	0	43	56	0	309	898	442	1018	872	3.1755
Public Class	android.view.TouchDelegate	846	695	16	4	0	0	59	3	11	0	0	4	15	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	4	0	0	2	0	0	0	0	7	316	2.6772
Public Class	android.view.VelocityTracker	1459	679	3742	82	0	0	107	2	20	0	0	8	35	80	1	0	0	0	10	35	137	28	67	6	0	0	59	122	14	7	42	0	1	0	0	28	4	80	11	16	0	12	0	0	0	0	0	5	2	11	106	93	0	0	8	4	0	0	724	1524	7	185	373	0	2070	6214	2633	3193	1763	0.8276
Public Class	android.view.View	726370	234419	27090	2206	1	1	8264	6	1924	0	110	166	649	99	1	53	0	12	5	262	329	320	157	299	11	0	675	458	155	59	1465	188	1	59	47	995	84	2204	102	66	10	44	12	0	0	0	2	17	6	56	1325	1086	3	0	6	5	26	4	6754	4061	853	1596	3159	3	14915	28180	20708	23625	165219	4.3964
Public Class	android.view.ViewConfiguration	3693	1882	772	155	0	0	266	3	50	0	0	14	56	95	1	2	0	0	0	10	26	4	0	6	0	0	4	0	0	0	3	5	1	2	0	30	1	153	0	0	0	0	0	0	0	0	0	0	0	0	97	136	0	0	0	0	0	0	183	39	3	4	62	0	363	786	308	626	4159	0.8880
Public Class	android.view.ViewDebug	2	1	2624	189	0	0	1011	7	188	0	0	68	60	97	1	0	0	0	8	30	109	27	15	2	13	0	23	54	4	0	69	16	1	12	8	39	12	187	42	8	0	2	0	0	0	0	0	0	0	5	94	124	2	0	0	2	0	0	388	798	80	196	249	2	912	2575	1380	2659	31	0.0645
